frame_num,player_1_pos,player_2_pos,ball_pos
135,"(np.float32(1741.7008), np.float32(535.6939))","(np.float32(1689.4784), np.float32(81.5977))","(np.float32(1701.5662), np.float32(92.117645))"
136,"(np.float32(1743.1848), np.float32(535.75006))","(np.float32(1687.7095), np.float32(81.9765))","(np.float32(1702.7454), np.float32(91.82282))"
137,"(np.float32(1744.504), np.float32(535.7492))","(np.float32(1682.9923), np.float32(81.952354))","(np.float32(1706.8729), np.float32(90.34871))"
138,"(np.float32(1745.3284), np.float32(535.636))","(np.float32(1679.4545), np.float32(82.038246))","(np.float32(1710.116), np.float32(88.874596))"
139,"(np.float32(1745.6582), np.float32(535.23773))","(np.float32(1677.3906), np.float32(82.27599))","(np.float32(1713.0642), np.float32(87.40048))"
140,"(np.float32(1746.1528), np.float32(534.62854))","(np.float32(1674.7373), np.float32(82.49764))","(np.float32(1716.3073), np.float32(85.631546))"
141,"(np.float32(1747.6368), np.float32(534.10095))","(np.float32(1672.0839), np.float32(82.710304))","(np.float32(1720.7296), np.float32(83.86261))"
142,"(np.float32(1748.7911), np.float32(533.75195))","(np.float32(1670.6097), np.float32(82.984665))","(np.float32(1721.9088), np.float32(82.68332))"
143,"(np.float32(1750.9347), np.float32(533.39233))","(np.float32(1669.1356), np.float32(83.11842))","(np.float32(1726.0364), np.float32(79.73509))"
144,"(np.float32(1754.0676), np.float32(533.27026))","(np.float32(1667.9563), np.float32(83.15363))","(np.float32(1729.8691), np.float32(76.786865))"
145,"(np.float32(1756.0463), np.float32(533.06494))","(np.float32(1667.0719), np.float32(83.18096))","(np.float32(1731.0483), np.float32(75.9024))"
146,"(np.float32(1758.7253), np.float32(532.663))","(np.float32(1666.4822), np.float32(83.268555))","(np.float32(1734.8811), np.float32(72.65935))"
147,"(np.float32(1760.8971), np.float32(532.11743))","(np.float32(1666.4822), np.float32(83.30167))","(np.float32(1738.419), np.float32(70.583694))"
148,"(np.float32(1762.3359), np.float32(531.59766))","(np.float32(1666.4822), np.float32(83.3133))","(np.float32(1741.9568), np.float32(73.826744))"
149,"(np.float32(1764.0653), np.float32(531.0071))","(np.float32(1667.0719), np.float32(83.326706))","(np.float32(1745.7896), np.float32(77.06979))"
150,"(np.float32(1766.8676), np.float32(530.8129))","(np.float32(1667.9563), np.float32(83.355064))","(np.float32(1746.059), np.float32(186.23964))"
151,"(np.float32(1769.3126), np.float32(530.84686))","(np.float32(1668.8408), np.float32(83.371765))","(np.float32(1745.71), np.float32(184.17589))"
152,"(np.float32(1773.8253), np.float32(530.7556))","(np.float32(1669.7252), np.float32(83.64856))","(np.float32(1749.8375), np.float32(179.1639))"
153,"(np.float32(1778.2013), np.float32(530.8288))","(np.float32(1670.9045), np.float32(83.96914))","(np.float32(1753.6702), np.float32(175.65665))"
154,"(np.float32(1780.6678), np.float32(530.98364))","(np.float32(1672.0839), np.float32(84.02782))","(np.float32(1757.5029), np.float32(180.66864))"
155,"(np.float32(1782.2488), np.float32(530.9746))","(np.float32(1673.2632), np.float32(84.21207))","(np.float32(1754.7332), np.float32(181.32513))"
156,"(np.float32(1784.181), np.float32(531.0067))","(np.float32(1674.7373), np.float32(84.30698))","(np.float32(1757.1925), np.float32(184.48708))"
157,"(np.float32(1785.4108), np.float32(530.9577))","(np.float32(1675.6217), np.float32(84.28555))","(np.float32(1759.4761), np.float32(187.47336))"
158,"(np.float32(1786.816), np.float32(530.7461))","(np.float32(1677.0958), np.float32(84.00787))","(np.float32(1761.7598), np.float32(190.45964))"
159,"(np.float32(1788.397), np.float32(530.7097))","(np.float32(1679.4545), np.float32(83.88086))","(np.float32(1764.219), np.float32(193.44592))"
160,"(np.float32(1789.6267), np.float32(530.53516))","(np.float32(1680.9285), np.float32(83.791145))","(np.float32(1766.5027), np.float32(196.4322))"
161,"(np.float32(1791.032), np.float32(530.084))","(np.float32(1682.1078), np.float32(83.28361))","(np.float32(1769.2046), np.float32(443.80475))"
162,"(np.float32(1792.4373), np.float32(529.2603))","(np.float32(1683.8767), np.float32(82.66072))","(np.float32(1771.6638), np.float32(439.23752))"
163,"(np.float32(1793.3156), np.float32(528.8371))","(np.float32(1684.7612), np.float32(82.22121))","(np.float32(1773.5962), np.float32(436.7782))"
164,"(np.float32(1795.0723), np.float32(528.8571))","(np.float32(1686.825), np.float32(81.6529))","(np.float32(1776.0554), np.float32(432.38663))"
165,"(np.float32(1796.8289), np.float32(528.7834))","(np.float32(1689.4784), np.float32(81.53283))","(np.float32(1779.3931), np.float32(426.76538))"
166,"(np.float32(1797.8828), np.float32(528.7436))","(np.float32(1691.5421), np.float32(81.450874))","(np.float32(1781.3253), np.float32(425.36008))"
167,"(np.float32(1798.9368), np.float32(528.7543))","(np.float32(1694.7852), np.float32(81.379814))","(np.float32(1783.4333), np.float32(423.95477))"
168,"(np.float32(1799.8152), np.float32(528.81525))","(np.float32(1696.849), np.float32(81.55365))","(np.float32(1785.3656), np.float32(422.54944))"
169,"(np.float32(1800.5178), np.float32(528.80664))","(np.float32(1698.0282), np.float32(81.42105))","(np.float32(1787.4736), np.float32(421.3198))"
170,"(np.float32(1801.3961), np.float32(528.79346))","(np.float32(1700.6816), np.float32(81.49382))","(np.float32(1789.4059), np.float32(419.9579))"
171,"(np.float32(1803.5042), np.float32(528.7933))","(np.float32(1704.5143), np.float32(81.44954))","(np.float32(1791.5138), np.float32(421.3632))"
172,"(np.float32(1804.7338), np.float32(528.81757))","(np.float32(1707.4625), np.float32(81.068375))","(np.float32(1793.4462), np.float32(422.7685))"
173,"(np.float32(1806.4904), np.float32(528.776))","(np.float32(1710.4108), np.float32(80.791245))","(np.float32(1795.5541), np.float32(424.1738))"
174,"(np.float32(1807.5443), np.float32(528.85315))","(np.float32(1712.4746), np.float32(80.693275))","(np.float32(1797.4865), np.float32(425.5791))"
175,"(np.float32(1808.0713), np.float32(528.8005))","(np.float32(1713.359), np.float32(80.62248))","(np.float32(1799.5944), np.float32(426.98444))"
176,"(np.float32(1808.2471), np.float32(528.70734))","(np.float32(1713.6538), np.float32(80.560585))","(np.float32(1801.5266), np.float32(428.21408))"
177,"(np.float32(1807.72), np.float32(528.625))","(np.float32(1714.2435), np.float32(80.64529))","(np.float32(1803.6346), np.float32(429.6194))"
178,"(np.float32(1806.8417), np.float32(528.58966))","(np.float32(1714.8331), np.float32(80.73898))","(np.float32(1805.3912), np.float32(430.67337))"
179,"(np.float32(1806.4904), np.float32(528.25446))","(np.float32(1716.0125), np.float32(80.689514))","(np.float32(1807.148), np.float32(431.72736))"
180,"(np.float32(1806.4904), np.float32(527.99866))","(np.float32(1717.7814), np.float32(80.77666))","(np.float32(1808.9045), np.float32(432.60565))"
181,"(np.float32(1807.8956), np.float32(527.65265))","(np.float32(1718.6658), np.float32(80.951996))","(np.float32(1810.4855), np.float32(433.65964))"
182,"(np.float32(1809.301), np.float32(526.44495))","(np.float32(1719.5503), np.float32(81.23041))","(np.float32(1811.8909), np.float32(434.53796))"
183,"(np.float32(1808.5984), np.float32(524.8636))","(np.float32(1721.0244), np.float32(81.225525))","(np.float32(1811.0125), np.float32(426.98444))"
184,"(np.float32(1807.8956), np.float32(525.63214))","(np.float32(1721.9088), np.float32(81.51712))","(np.float32(1810.1342), np.float32(420.61716))"
185,"(np.float32(1807.5443), np.float32(526.40234))","(np.float32(1723.6779), np.float32(82.186485))","(np.float32(1809.2559), np.float32(428.34634))"
186,"(np.float32(1807.3687), np.float32(526.8136))","(np.float32(1724.5623), np.float32(82.80175))","(np.float32(1807.3236), np.float32(437.12955))"
187,"(np.float32(1807.72), np.float32(526.8937))","(np.float32(1725.7416), np.float32(83.06509))","(np.float32(1807.148), np.float32(440.64282))"
188,"(np.float32(1808.5984), np.float32(526.911))","(np.float32(1726.3312), np.float32(83.23738))","(np.float32(1805.8513), np.float32(198.89151))"
189,"(np.float32(1809.301), np.float32(527.1927))","(np.float32(1726.9209), np.float32(83.39581))","(np.float32(1804.7974), np.float32(195.20256))"
